Datum;Morgen Kommen;Morgen Gehen;Mittag Kommen;Abend Gehen;Arbeitszeit;Sollzeit;Differenz;Feiertag
So 16.03.2025;;;;;00:00;00:00;00:00 ;
Mo 17.03.2025;;;;;00:00;08:24;08:24 Fehl;
Di 18.03.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 19.03.2025;;;;;00:00;08:24;08:24 Fehl;
Do 20.03.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 21.03.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 22.03.2025;;;;;00:00;00:00;00:00 ;
So 23.03.2025;;;;;00:00;00:00;00:00 ;
Mo 24.03.2025;;;;;00:00;08:24;08:24 Fehl;
Di 25.03.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 26.03.2025;;;;;00:00;08:24;08:24 Fehl;
Do 27.03.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 28.03.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 29.03.2025;;;;;00:00;00:00;00:00 ;
So 30.03.2025;;;;;00:00;00:00;00:00 ;
Mo 31.03.2025;;;;;00:00;08:24;08:24 Fehl;
Di 01.04.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 02.04.2025;;;;;00:00;08:24;08:24 Fehl;
Do 03.04.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 04.04.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 05.04.2025;;;;;00:00;00:00;00:00 ;
So 06.04.2025;;;;;00:00;00:00;00:00 ;
Mo 07.04.2025;;;;;00:00;08:24;08:24 Fehl;
Di 08.04.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 09.04.2025;;;;;00:00;08:24;08:24 Fehl;
Do 10.04.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 11.04.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 12.04.2025;;;;;00:00;00:00;00:00 ;
So 13.04.2025;;;;;00:00;00:00;00:00 ;
Mo 14.04.2025;;;;;00:00;08:24;08:24 Fehl;
Di 15.04.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 16.04.2025;;;;;00:00;08:24;08:24 Fehl;
Do 17.04.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 18.04.2025;;;;;00:00;08:24;08:24 Fehl;
